issue_width,rob_size,l1d_mshrs,l1d_size,l1d_assoc,has_l2,l2_size,ipc,config_id,cost,is_feasible
4,32,8,16kB,2,True,512kB,0.478106,297,816.4,True
4,32,8,16kB,2,True,1MB,0.535213,298,1328.4,True
4,32,8,16kB,2,True,2MB,0.607137,299,2352.4,False
4,32,8,16kB,4,True,512kB,0.478044,300,816.8,True
4,32,8,16kB,4,True,1MB,0.535179,301,1328.8,True
4,32,8,16kB,4,True,2MB,0.607137,302,2352.8,False
4,32,8,16kB,8,True,512kB,0.478044,303,817.6,True
4,32,8,16kB,8,True,1MB,0.535244,304,1329.6,True
4,32,8,16kB,8,True,2MB,0.607137,305,2353.6,False
4,32,8,32kB,2,True,512kB,0.478437,306,832.8,True
4,32,8,32kB,2,True,1MB,0.536187,307,1344.8,True
4,32,8,32kB,2,True,2MB,0.607154,308,2368.8,False
4,32,8,32kB,4,True,512kB,0.478526,309,833.6,True
4,32,8,32kB,4,True,1MB,0.536272,310,1345.6,True
4,32,8,32kB,4,True,2MB,0.607149,311,2369.6,False
4,32,8,32kB,8,True,512kB,0.47841,312,835.2,True
4,32,8,32kB,8,True,1MB,0.536235,313,1347.2,True
4,32,8,32kB,8,True,2MB,0.607149,314,2371.2,False
4,32,8,64kB,2,True,512kB,0.480997,315,865.6,True
4,32,8,64kB,2,True,1MB,0.537968,316,1377.6,True
4,32,8,64kB,2,True,2MB,0.607314,317,2401.6,False
4,32,8,64kB,4,True,512kB,0.480804,318,867.2,True
4,32,8,64kB,4,True,1MB,0.537891,319,1379.2,True
4,32,8,64kB,4,True,2MB,0.607307,320,2403.2,False
4,32,8,64kB,8,True,512kB,0.480458,321,870.4,True
4,32,8,64kB,8,True,1MB,0.537597,322,1382.4,True
4,32,8,64kB,8,True,2MB,0.607305,323,2406.4,False
4,64,2,16kB,2,True,512kB,0.479898,324,834.4,True
4,64,2,16kB,2,True,1MB,0.537653,325,1346.4,True
4,64,2,16kB,2,True,2MB,0.609916,326,2370.4,False
4,64,2,16kB,4,True,512kB,0.479812,327,834.8,True
4,64,2,16kB,4,True,1MB,0.537745,328,1346.8,True
4,64,2,16kB,4,True,2MB,0.609916,329,2370.8,False
4,64,2,16kB,8,True,512kB,0.480083,330,835.6,True
4,64,2,16kB,8,True,1MB,0.537507,331,1347.6,True
4,64,2,16kB,8,True,2MB,0.609958,332,2371.6,False
4,64,2,32kB,2,True,512kB,0.480841,333,850.8,True
4,64,2,32kB,2,True,1MB,0.538247,334,1362.8,True
4,64,2,32kB,2,True,2MB,0.609974,335,2386.8,False
4,64,2,32kB,4,True,512kB,0.481078,336,851.6,True
4,64,2,32kB,4,True,1MB,0.538228,337,1363.6,True
4,64,2,32kB,4,True,2MB,0.60997,338,2387.6,False
4,64,2,32kB,8,True,512kB,0.480989,339,853.2,True
4,64,2,32kB,8,True,1MB,0.538075,340,1365.2,True
4,64,2,32kB,8,True,2MB,0.60997,341,2389.2,False
4,64,2,64kB,2,True,512kB,0.48293,342,883.6,True
4,64,2,64kB,2,True,1MB,0.540022,343,1395.6,True
4,64,2,64kB,2,True,2MB,0.61003,344,2419.6,False
4,64,2,64kB,4,True,512kB,0.482919,345,885.2,True
4,64,2,64kB,4,True,1MB,0.539997,346,1397.2,True
4,64,2,64kB,4,True,2MB,0.610024,347,2421.2,False
4,64,2,64kB,8,True,512kB,0.482518,348,888.4,True
4,64,2,64kB,8,True,1MB,0.539878,349,1400.4,True
4,64,2,64kB,8,True,2MB,0.610022,350,2424.4,False
4,64,4,16kB,2,True,512kB,0.48017,351,844.4,True
4,64,4,16kB,2,True,1MB,0.537523,352,1356.4,True
4,64,4,16kB,2,True,2MB,0.609975,353,2380.4,False
4,64,4,16kB,4,True,512kB,0.48017,354,844.8,True
4,64,4,16kB,4,True,1MB,0.53734,355,1356.8,True
4,64,4,16kB,4,True,2MB,0.609975,356,2380.8,False
4,64,4,16kB,8,True,512kB,0.480113,357,845.6,True
4,64,4,16kB,8,True,1MB,0.537558,358,1357.6,True
4,64,4,16kB,8,True,2MB,0.609975,359,2381.6,False
4,64,4,32kB,2,True,512kB,0.480868,360,860.8,True
4,64,4,32kB,2,True,1MB,0.538295,361,1372.8,True
4,64,4,32kB,2,True,2MB,0.609992,362,2396.8,False
4,64,4,32kB,4,True,512kB,0.481108,363,861.6,True
4,64,4,32kB,4,True,1MB,0.538276,364,1373.6,True
4,64,4,32kB,4,True,2MB,0.609987,365,2397.6,False
4,64,4,32kB,8,True,512kB,0.48102,366,863.2,True
4,64,4,32kB,8,True,1MB,0.538111,367,1375.2,True
4,64,4,32kB,8,True,2MB,0.609987,368,2399.2,False
4,64,4,64kB,2,True,512kB,0.482959,369,893.6,True
4,64,4,64kB,2,True,1MB,0.540073,370,1405.6,True
4,64,4,64kB,2,True,2MB,0.610047,371,2429.6,False
4,64,4,64kB,4,True,512kB,0.482948,372,895.2,True
4,64,4,64kB,4,True,1MB,0.540048,373,1407.2,True
4,64,4,64kB,4,True,2MB,0.610041,374,2431.2,False
4,64,4,64kB,8,True,512kB,0.482619,375,898.4,True
4,64,4,64kB,8,True,1MB,0.539929,376,1410.4,True
4,64,4,64kB,8,True,2MB,0.610039,377,2434.4,False
4,64,8,16kB,2,True,512kB,0.480172,378,864.4,True
4,64,8,16kB,2,True,1MB,0.537523,379,1376.4,True
4,64,8,16kB,2,True,2MB,0.609975,380,2400.4,False
4,64,8,16kB,4,True,512kB,0.480172,381,864.8,True
4,64,8,16kB,4,True,1MB,0.53734,382,1376.8,True
4,64,8,16kB,4,True,2MB,0.609975,383,2400.8,False
4,64,8,16kB,8,True,512kB,0.480113,384,865.6,True
4,64,8,16kB,8,True,1MB,0.537558,385,1377.6,True
4,64,8,16kB,8,True,2MB,0.609975,386,2401.6,False
4,64,8,32kB,2,True,512kB,0.480868,387,880.8,True
4,64,8,32kB,2,True,1MB,0.538295,388,1392.8,True
4,64,8,32kB,2,True,2MB,0.609992,389,2416.8,False
4,64,8,32kB,4,True,512kB,0.481108,390,881.6,True
4,64,8,32kB,4,True,1MB,0.538276,391,1393.6,True
4,64,8,32kB,4,True,2MB,0.609987,392,2417.6,False
4,64,8,32kB,8,True,512kB,0.48102,393,883.2,True
4,64,8,32kB,8,True,1MB,0.538111,394,1395.2,True
4,64,8,32kB,8,True,2MB,0.609987,395,2419.2,False
4,64,8,64kB,2,True,512kB,0.482959,396,913.6,True
4,64,8,64kB,2,True,1MB,0.540073,397,1425.6,True
4,64,8,64kB,2,True,2MB,0.610047,398,2449.6,False
4,64,8,64kB,4,True,512kB,0.482948,399,915.2,True
4,64,8,64kB,4,True,1MB,0.540048,400,1427.2,True
4,64,8,64kB,4,True,2MB,0.610041,401,2451.2,False
4,64,8,64kB,8,True,512kB,0.482619,402,918.4,True
4,64,8,64kB,8,True,1MB,0.539929,403,1430.4,True
4,64,8,64kB,8,True,2MB,0.610039,404,2454.4,False
4,128,2,16kB,2,True,512kB,0.48157,405,930.4,True
4,128,2,16kB,2,True,1MB,0.53938,406,1442.4,True
4,128,2,16kB,2,True,2MB,0.612311,407,2466.4,False
4,128,2,16kB,4,True,512kB,0.481561,408,930.8,True
4,128,2,16kB,4,True,1MB,0.53963,409,1442.8,True
4,128,2,16kB,4,True,2MB,0.612443,410,2466.8,False
4,128,2,16kB,8,True,512kB,0.481428,411,931.6,True
4,128,2,16kB,8,True,1MB,0.539717,412,1443.6,True
4,128,2,16kB,8,True,2MB,0.612443,413,2467.6,False
4,128,2,32kB,2,True,512kB,0.482341,414,946.8,True
4,128,2,32kB,2,True,1MB,0.540131,415,1458.8,True
4,128,2,32kB,2,True,2MB,0.612459,416,2482.8,False
4,128,2,32kB,4,True,512kB,0.482279,417,947.6,True
4,128,2,32kB,4,True,1MB,0.540204,418,1459.6,True
4,128,2,32kB,4,True,2MB,0.612455,419,2483.6,False
4,128,2,32kB,8,True,512kB,0.482226,420,949.2,True
4,128,2,32kB,8,True,1MB,0.540036,421,1461.2,True
4,128,2,32kB,8,True,2MB,0.612455,422,2485.2,False
4,128,2,64kB,2,True,512kB,0.483898,423,979.6,True
4,128,2,64kB,2,True,1MB,0.542195,424,1491.6,True
4,128,2,64kB,2,True,2MB,0.612516,425,2515.6,False
4,128,2,64kB,4,True,512kB,0.483784,426,981.2,True
4,128,2,64kB,4,True,1MB,0.541996,427,1493.2,True
4,128,2,64kB,4,True,2MB,0.612509,428,2517.2,False
4,128,2,64kB,8,True,512kB,0.48347,429,984.4,True
4,128,2,64kB,8,True,1MB,0.541766,430,1496.4,True
4,128,2,64kB,8,True,2MB,0.612507,431,2520.4,False
