config_id,issue_width,rob_size,l1d_mshrs,l1d_size,l1d_assoc,l2_size,ipc
516,8,32,4,16kB,4,512kB,0.567295
517,8,32,4,16kB,4,1MB,0.595694
518,8,32,4,16kB,4,2MB,0.638089
519,8,32,4,16kB,8,512kB,0.567266
520,8,32,4,16kB,8,1MB,0.595974
521,8,32,4,16kB,8,2MB,0.638092
522,8,32,4,32kB,2,512kB,0.569043
523,8,32,4,32kB,2,1MB,0.59706
524,8,32,4,32kB,2,2MB,0.638091
525,8,32,4,32kB,4,512kB,0.568834
526,8,32,4,32kB,4,1MB,0.596842
527,8,32,4,32kB,4,2MB,0.638082
528,8,32,4,32kB,8,512kB,0.568637
529,8,32,4,32kB,8,1MB,0.596854
530,8,32,4,32kB,8,2MB,0.638092
531,8,32,4,64kB,2,512kB,0.571297
532,8,32,4,64kB,2,1MB,0.598668
533,8,32,4,64kB,2,2MB,0.638226
534,8,32,4,64kB,4,512kB,0.570991
535,8,32,4,64kB,4,1MB,0.59841
536,8,32,4,64kB,4,2MB,0.638206
537,8,32,4,64kB,8,512kB,0.570576
538,8,32,4,64kB,8,1MB,0.597975
539,8,32,4,64kB,8,2MB,0.638236
540,8,32,8,16kB,2,512kB,0.577098
541,8,32,8,16kB,2,1MB,0.595536
542,8,32,8,16kB,2,2MB,0.638303
543,8,32,8,16kB,4,512kB,0.577253
544,8,32,8,16kB,4,1MB,0.595994
545,8,32,8,16kB,4,2MB,0.638531
546,8,32,8,16kB,8,512kB,0.575474
547,8,32,8,16kB,8,1MB,0.596127
548,8,32,8,16kB,8,2MB,0.63853
549,8,32,8,32kB,2,512kB,0.578309
550,8,32,8,32kB,2,1MB,0.597081
551,8,32,8,32kB,2,2MB,0.638547
552,8,32,8,32kB,4,512kB,0.578132
553,8,32,8,32kB,4,1MB,0.596996
554,8,32,8,32kB,4,2MB,0.638543
555,8,32,8,32kB,8,512kB,0.578132
556,8,32,8,32kB,8,1MB,0.596864
557,8,32,8,32kB,8,2MB,0.638536
558,8,32,8,64kB,2,512kB,0.580222
559,8,32,8,64kB,2,1MB,0.598666
560,8,32,8,64kB,2,2MB,0.638701
561,8,32,8,64kB,4,512kB,0.579421
562,8,32,8,64kB,4,1MB,0.598446
563,8,32,8,64kB,4,2MB,0.638701
564,8,32,8,64kB,8,512kB,0.579897
565,8,32,8,64kB,8,1MB,0.598022
566,8,32,8,64kB,8,2MB,0.638694
567,8,64,2,16kB,2,512kB,0.534438
568,8,64,2,16kB,2,1MB,0.582233
569,8,64,2,16kB,2,2MB,0.635906
570,8,64,2,16kB,4,512kB,0.534152
571,8,64,2,16kB,4,1MB,0.581921
572,8,64,2,16kB,4,2MB,0.635906
573,8,64,2,16kB,8,512kB,0.534152
574,8,64,2,16kB,8,1MB,0.582127
575,8,64,2,16kB,8,2MB,0.636023
576,8,64,2,32kB,2,512kB,0.536388
577,8,64,2,32kB,2,1MB,0.584104
578,8,64,2,32kB,2,2MB,0.636023
579,8,64,2,32kB,4,512kB,0.535852
580,8,64,2,32kB,4,1MB,0.583599
581,8,64,2,32kB,4,2MB,0.636023
582,8,64,2,32kB,8,512kB,0.535342
583,8,64,2,32kB,8,1MB,0.583186
584,8,64,2,32kB,8,2MB,0.636025
585,8,64,2,64kB,2,512kB,0.538815
586,8,64,2,64kB,2,1MB,0.586591
587,8,64,2,64kB,2,2MB,0.636023
588,8,64,2,64kB,4,512kB,0.538471
589,8,64,2,64kB,4,1MB,0.585907
590,8,64,2,64kB,4,2MB,0.636023
591,8,64,2,64kB,8,512kB,0.537509
592,8,64,2,64kB,8,1MB,0.585017
593,8,64,2,64kB,8,2MB,0.63603
594,8,64,4,16kB,2,512kB,0.571986
595,8,64,4,16kB,2,1MB,0.600524
596,8,64,4,16kB,2,2MB,0.643318
597,8,64,4,16kB,4,512kB,0.571697
