core_type,issue_width,rob_size,l1d_mshrs,l1d_size,l1d_assoc,l2_size,ipc,config_id,cost,is_feasible
DerivO3CPU,4,32,4,32kB,2,512kB,0.567599,279,812.8,True
DerivO3CPU,4,32,4,32kB,2,1MB,0.595083,280,1324.8,True
DerivO3CPU,4,32,4,32kB,2,2MB,0.636158,281,2348.8,False
DerivO3CPU,4,32,4,32kB,4,512kB,0.567478,282,813.6,True
DerivO3CPU,4,32,4,32kB,4,1MB,0.594802,283,1325.6,True
DerivO3CPU,4,32,4,32kB,4,2MB,0.636158,284,2349.6,False
DerivO3CPU,4,32,4,32kB,8,512kB,0.567177,285,815.2,True
DerivO3CPU,4,32,4,32kB,8,1MB,0.594894,286,1327.2,True
DerivO3CPU,4,32,4,32kB,8,2MB,0.636158,287,2351.2,False
DerivO3CPU,4,32,4,64kB,2,512kB,0.570277,288,845.6,True
DerivO3CPU,4,32,4,64kB,2,1MB,0.597389,289,1357.6,True
DerivO3CPU,4,32,4,64kB,2,2MB,0.636158,290,2381.6,False
DerivO3CPU,4,32,4,64kB,4,512kB,0.570083,291,847.2,True
DerivO3CPU,4,32,4,64kB,4,1MB,0.596941,292,1359.2,True
DerivO3CPU,4,32,4,64kB,4,2MB,0.636156,293,2383.2,False
DerivO3CPU,4,32,4,64kB,8,512kB,0.569459,294,850.4,True
DerivO3CPU,4,32,4,64kB,8,1MB,0.596724,295,1362.4,True
DerivO3CPU,4,32,4,64kB,8,2MB,0.636158,296,2386.4,False
DerivO3CPU,4,32,8,16kB,2,512kB,0.57478,297,816.4,True
DerivO3CPU,4,32,8,16kB,2,1MB,0.593996,298,1328.4,True
DerivO3CPU,4,32,8,16kB,2,2MB,0.636489,299,2352.4,False
DerivO3CPU,4,32,8,16kB,4,512kB,0.574207,300,816.8,True
DerivO3CPU,4,32,8,16kB,4,1MB,0.594037,301,1328.8,True
DerivO3CPU,4,32,8,16kB,4,2MB,0.636487,302,2352.8,False
DerivO3CPU,4,32,8,16kB,8,512kB,0.574773,303,817.6,True
DerivO3CPU,4,32,8,16kB,8,1MB,0.593978,304,1329.6,True
DerivO3CPU,4,32,8,16kB,8,2MB,0.636484,305,2353.6,False
DerivO3CPU,4,32,8,32kB,2,512kB,0.57654,306,832.8,True
DerivO3CPU,4,32,8,32kB,2,1MB,0.595143,307,1344.8,True
DerivO3CPU,4,32,8,32kB,2,2MB,0.63649,308,2368.8,False
DerivO3CPU,4,32,8,32kB,4,512kB,0.576641,309,833.6,True
DerivO3CPU,4,32,8,32kB,4,1MB,0.595013,310,1345.6,True
DerivO3CPU,4,32,8,32kB,4,2MB,0.63649,311,2369.6,False
DerivO3CPU,4,32,8,32kB,8,512kB,0.57673,312,835.2,True
DerivO3CPU,4,32,8,32kB,8,1MB,0.594804,313,1347.2,True
DerivO3CPU,4,32,8,32kB,8,2MB,0.63649,314,2371.2,False
DerivO3CPU,4,32,8,64kB,2,512kB,0.580486,315,865.6,True
DerivO3CPU,4,32,8,64kB,2,1MB,0.597248,316,1377.6,True
DerivO3CPU,4,32,8,64kB,2,2MB,0.636511,317,2401.6,False
DerivO3CPU,4,32,8,64kB,4,512kB,0.578795,318,867.2,True
DerivO3CPU,4,32,8,64kB,4,1MB,0.59716,319,1379.2,True
DerivO3CPU,4,32,8,64kB,4,2MB,0.636511,320,2403.2,False
DerivO3CPU,4,32,8,64kB,8,512kB,0.578728,321,870.4,True
DerivO3CPU,4,32,8,64kB,8,1MB,0.596722,322,1382.4,True
DerivO3CPU,4,32,8,64kB,8,2MB,0.636511,323,2406.4,False
DerivO3CPU,4,64,2,16kB,2,512kB,0.531322,324,834.4,True
DerivO3CPU,4,64,2,16kB,2,1MB,0.57857,325,1346.4,True
DerivO3CPU,4,64,2,16kB,2,2MB,0.631605,326,2370.4,False
DerivO3CPU,4,64,2,16kB,4,512kB,0.531057,327,834.8,True
DerivO3CPU,4,64,2,16kB,4,1MB,0.578329,328,1346.8,True
DerivO3CPU,4,64,2,16kB,4,2MB,0.631605,329,2370.8,False
DerivO3CPU,4,64,2,16kB,8,512kB,0.531298,330,835.6,True
DerivO3CPU,4,64,2,16kB,8,1MB,0.578732,331,1347.6,True
DerivO3CPU,4,64,2,16kB,8,2MB,0.631718,332,2371.6,False
DerivO3CPU,4,64,2,32kB,2,512kB,0.533468,333,850.8,True
DerivO3CPU,4,64,2,32kB,2,1MB,0.580605,334,1362.8,True
DerivO3CPU,4,64,2,32kB,2,2MB,0.631718,335,2386.8,False
DerivO3CPU,4,64,2,32kB,4,512kB,0.53303,336,851.6,True
DerivO3CPU,4,64,2,32kB,4,1MB,0.580324,337,1363.6,True
DerivO3CPU,4,64,2,32kB,4,2MB,0.631718,338,2387.6,False
DerivO3CPU,4,64,2,32kB,8,512kB,0.532363,339,853.2,True
DerivO3CPU,4,64,2,32kB,8,1MB,0.57977,340,1365.2,True
DerivO3CPU,4,64,2,32kB,8,2MB,0.631718,341,2389.2,False
DerivO3CPU,4,64,2,64kB,2,512kB,0.535724,342,883.6,True
DerivO3CPU,4,64,2,64kB,2,1MB,0.5834,343,1395.6,True
DerivO3CPU,4,64,2,64kB,2,2MB,0.631718,344,2419.6,False
DerivO3CPU,4,64,2,64kB,4,512kB,0.535614,345,885.2,True
DerivO3CPU,4,64,2,64kB,4,1MB,0.58286,346,1397.2,True
DerivO3CPU,4,64,2,64kB,4,2MB,0.631718,347,2421.2,False
DerivO3CPU,4,64,2,64kB,8,512kB,0.534593,348,888.4,True
DerivO3CPU,4,64,2,64kB,8,1MB,0.581753,349,1400.4,True
DerivO3CPU,4,64,2,64kB,8,2MB,0.631718,350,2424.4,False
DerivO3CPU,4,64,4,16kB,2,512kB,0.568665,351,844.4,True
DerivO3CPU,4,64,4,16kB,2,1MB,0.597156,352,1356.4,True
DerivO3CPU,4,64,4,16kB,2,2MB,0.639025,353,2380.4,False
